starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 26 09:40:17 2021	1627288817	488	125	612	88
Mon Jul 26 09:40:14 2021	1627288814	497	117	614	52
Mon Jul 26 09:40:16 2021	1627288816	336	279	616	126
Mon Jul 26 09:40:17 2021	1627288817	331	287	618	182
Mon Jul 26 09:40:16 2021	1627288816	303	317	620	268
Mon Jul 26 09:40:16 2021	1627288816	319	303	622	116
Mon Jul 26 09:40:16 2021	1627288816	354	273	627	184
Mon Jul 26 09:40:16 2021	1627288816	503	131	634	117
Mon Jul 26 09:40:17 2021	1627288817	264	374	638	325
Mon Jul 26 09:40:16 2021	1627288816	272	368	639	271
Mon Jul 26 09:40:16 2021	1627288816	545	94	639	26
Mon Jul 26 09:40:17 2021	1627288817	601	40	640	38
Mon Jul 26 09:40:15 2021	1627288815	164	477	641	116
Mon Jul 26 09:40:16 2021	1627288816	295	348	643	117
Mon Jul 26 09:40:16 2021	1627288816	511	133	644	105
Mon Jul 26 09:40:16 2021	1627288816	525	119	644	61
Mon Jul 26 09:40:13 2021	1627288813	550	95	645	92
Mon Jul 26 09:40:14 2021	1627288814	377	269	646	160
Mon Jul 26 09:40:16 2021	1627288816	357	293	650	123
Mon Jul 26 09:40:16 2021	1627288816	277	374	651	272
Mon Jul 26 09:40:17 2021	1627288817	356	295	651	185
Mon Jul 26 09:40:15 2021	1627288815	444	211	655	112
Mon Jul 26 09:40:14 2021	1627288814	337	319	656	227
Mon Jul 26 09:40:17 2021	1627288817	448	208	656	167
Mon Jul 26 09:40:16 2021	1627288816	291	367	659	280
Mon Jul 26 09:40:16 2021	1627288816	572	90	663	22
Mon Jul 26 09:40:13 2021	1627288813	625	37	663	25
Mon Jul 26 09:40:15 2021	1627288815	298	365	663	155
Mon Jul 26 09:40:16 2021	1627288816	291	373	664	286
Mon Jul 26 09:40:15 2021	1627288815	403	266	669	105
Mon Jul 26 09:40:14 2021	1627288814	372	297	669	98
Mon Jul 26 09:40:17 2021	1627288817	351	319	669	249
Mon Jul 26 09:40:17 2021	1627288817	470	203	673	166
Mon Jul 26 09:40:16 2021	1627288816	563	111	673	49
Mon Jul 26 09:40:16 2021	1627288816	274	402	677	119
Mon Jul 26 09:40:17 2021	1627288817	578	99	677	60
Mon Jul 26 09:40:17 2021	1627288817	478	202	680	159
Mon Jul 26 09:40:16 2021	1627288816	336	344	680	320
Mon Jul 26 09:40:16 2021	1627288816	368	312	680	267
Mon Jul 26 09:40:16 2021	1627288816	357	325	682	156
Mon Jul 26 09:40:17 2021	1627288817	363	319	682	250
Mon Jul 26 09:40:16 2021	1627288816	560	122	682	62
Mon Jul 26 09:40:16 2021	1627288816	487	200	687	178
Mon Jul 26 09:40:14 2021	1627288814	391	297	687	98
Mon Jul 26 09:40:14 2021	1627288814	400	288	689	194
Mon Jul 26 09:40:14 2021	1627288814	394	297	692	213
Mon Jul 26 09:40:17 2021	1627288817	375	318	693	188
Mon Jul 26 09:40:16 2021	1627288816	322	371	693	282
Mon Jul 26 09:40:16 2021	1627288816	361	335	696	289
Mon Jul 26 09:40:16 2021	1627288816	339	357	696	76
Mon Jul 26 09:40:17 2021	1627288817	499	200	699	163
Mon Jul 26 09:40:17 2021	1627288817	579	123	702	94
Mon Jul 26 09:40:13 2021	1627288813	580	122	702	112
Mon Jul 26 09:40:17 2021	1627288817	387	319	706	250
Mon Jul 26 09:40:17 2021	1627288817	394	317	711	189
Mon Jul 26 09:40:14 2021	1627288814	594	118	712	57
Mon Jul 26 09:40:14 2021	1627288814	361	352	713	96
Mon Jul 26 09:40:17 2021	1627288817	504	209	713	167
Mon Jul 26 09:40:17 2021	1627288817	672	42	714	36
Mon Jul 26 09:40:16 2021	1627288816	564	150	714	46
Mon Jul 26 09:40:17 2021	1627288817	529	185	715	124
Mon Jul 26 09:40:16 2021	1627288816	391	325	716	75
Mon Jul 26 09:40:17 2021	1627288817	533	185	717	102
Mon Jul 26 09:40:16 2021	1627288816	483	238	721	172
Mon Jul 26 09:40:14 2021	1627288814	397	325	722	250
Mon Jul 26 09:40:15 2021	1627288815	534	189	723	114
Mon Jul 26 09:40:14 2021	1627288814	430	298	728	155
Mon Jul 26 09:40:15 2021	1627288815	148	586	734	312
Mon Jul 26 09:40:14 2021	1627288814	407	328	735	96
Mon Jul 26 09:40:14 2021	1627288814	420	319	739	232
Mon Jul 26 09:40:17 2021	1627288817	684	56	740	25
